model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-7b_4500_complexity_stratified_maxlen2048	lr	OK	2026-05-28T14:20:34-05:00	2026-05-28T14:20:45-05:00	11	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_allmodels_20260528_142033/run4_starcoder2-7b_4500_complexity_stratified_maxlen2048_lr_20260528_142034.log
starcoder2-7b_4500_complexity_stratified_maxlen2048	svm	OK	2026-05-28T14:20:45-05:00	2026-05-28T14:21:40-05:00	55	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_allmodels_20260528_142033/run4_starcoder2-7b_4500_complexity_stratified_maxlen2048_svm_20260528_142045.log
starcoder2-7b_4500_complexity_stratified_maxlen2048	mlp	OK	2026-05-28T14:21:40-05:00	2026-05-28T14:24:11-05:00	151	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_allmodels_20260528_142033/run4_starcoder2-7b_4500_complexity_stratified_maxlen2048_mlp_20260528_142140.log
starcoder2-7b_4500_complexity_stratified_maxlen2048	rf	OK	2026-05-28T14:24:11-05:00	2026-05-28T14:24:29-05:00	18	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_allmodels_20260528_142033/run4_starcoder2-7b_4500_complexity_stratified_maxlen2048_rf_20260528_142411.log
