model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1	lr	OK	2026-05-21T22:43:44-05:00	2026-05-21T22:43:50-05:00	6	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_lr_20260521_224344.log
starcoder2-15b-instruct-v0.1	svm	OK	2026-05-21T22:43:50-05:00	2026-05-21T22:44:03-05:00	13	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_svm_20260521_224350.log
starcoder2-15b-instruct-v0.1	mlp	OK	2026-05-21T22:44:03-05:00	2026-05-21T22:45:34-05:00	91	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_mlp_20260521_224403.log
starcoder2-15b-instruct-v0.1	rf	OK	2026-05-21T22:45:34-05:00	2026-05-21T22:45:49-05:00	15	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_rf_20260521_224534.log
starcoder2-15b-instruct-v0.1	gb	OK	2026-05-21T22:45:49-05:00	2026-05-21T22:51:59-05:00	370	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_gb_20260521_224549.log
starcoder2-15b-instruct-v0.1	knn	OK	2026-05-21T22:51:59-05:00	2026-05-21T22:52:03-05:00	4	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_knn_20260521_225159.log
starcoder2-15b-instruct-v0.1	dt	OK	2026-05-21T22:52:03-05:00	2026-05-21T22:52:14-05:00	11	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_allmodels_20260521_224344/run4_starcoder2-15b-instruct-v0.1_dt_20260521_225203.log
