model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	lr	OK	2026-05-23T16:51:54-05:00	2026-05-23T16:52:02-05:00	8	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_lr_20260523_165154.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	svm	OK	2026-05-23T16:52:02-05:00	2026-05-23T16:52:20-05:00	18	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_svm_20260523_165202.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	mlp	OK	2026-05-23T16:52:20-05:00	2026-05-23T16:53:51-05:00	91	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_mlp_20260523_165220.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	rf	OK	2026-05-23T16:53:51-05:00	2026-05-23T16:54:08-05:00	17	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_rf_20260523_165351.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	gb	OK	2026-05-23T16:54:08-05:00	2026-05-23T17:02:39-05:00	511	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_gb_20260523_165408.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	knn	OK	2026-05-23T17:02:39-05:00	2026-05-23T17:02:44-05:00	5	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_knn_20260523_170239.log
starcoder2-15b-instruct-v0.1_maxlen1024_baseline	dt	OK	2026-05-23T17:02:44-05:00	2026-05-23T17:02:56-05:00	12	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_allmodels_20260523_165154/run4_starcoder2-15b-instruct-v0.1_maxlen1024_baseline_dt_20260523_170244.log
