model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	lr	OK	2026-05-25T19:25:09-05:00	2026-05-25T19:25:21-05:00	12	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_lr_20260525_192509.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	svm	OK	2026-05-25T19:25:21-05:00	2026-05-25T19:26:13-05:00	52	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_svm_20260525_192521.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	mlp	OK	2026-05-25T19:26:13-05:00	2026-05-25T19:28:22-05:00	129	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_mlp_20260525_192613.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	rf	OK	2026-05-25T19:28:22-05:00	2026-05-25T19:28:40-05:00	18	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_rf_20260525_192822.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	gb	OK	2026-05-25T19:28:40-05:00	2026-05-25T19:42:00-05:00	800	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_gb_20260525_192840.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	knn	OK	2026-05-25T19:42:00-05:00	2026-05-25T19:42:05-05:00	5	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_knn_20260525_194200.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	dt	OK	2026-05-25T19:42:05-05:00	2026-05-25T19:42:20-05:00	15	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260525_192509/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_dt_20260525_194205.log
