model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	lr	OK	2026-05-24T23:22:38-05:00	2026-05-24T23:22:54-05:00	16	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_lr_20260524_232238.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	svm	OK	2026-05-24T23:22:54-05:00	2026-05-24T23:23:35-05:00	41	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_svm_20260524_232254.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	mlp	OK	2026-05-24T23:23:35-05:00	2026-05-24T23:28:16-05:00	281	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_mlp_20260524_232335.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	rf	OK	2026-05-24T23:28:16-05:00	2026-05-24T23:28:55-05:00	39	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_rf_20260524_232816.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	gb	OK	2026-05-24T23:28:55-05:00	2026-05-24T23:55:08-05:00	1573	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_gb_20260524_232855.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	knn	OK	2026-05-24T23:55:08-05:00	2026-05-24T23:55:16-05:00	8	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_knn_20260524_235508.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	dt	OK	2026-05-24T23:55:16-05:00	2026-05-24T23:55:45-05:00	29	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260524_232238/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_dt_20260524_235516.log
