run_tag,family,dataset,emb,n_test,acc,tpr,tnr,human_f1,ai_f1,avg_f1,auroc,score_mode
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_ada_20260530_210812,ada,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6711111111111111,0.6511111111111111,0.6911111111111111,0.6643990929705216,0.6775599128540305,0.670979502912276,0.7236148148148148,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_ada_20260530_210812,ada,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6233333333333333,0.64,0.6066666666666667,0.6295081967213115,0.6169491525423729,0.6232286746318423,0.6829012345679013,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_ada_20260530_210812,ada,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6455555555555555,0.6466666666666666,0.6444444444444445,0.6459489456159823,0.6451612903225806,0.6455551179692814,0.7016320987654321,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_dt_20260530_205940,dt,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.5477777777777778,0.5177777777777778,0.5777777777777777,0.5337915234822451,0.5609492988133765,0.5473704111478108,0.546395061728395,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_dt_20260530_205940,dt,codesearchnet_codellama-7b_python_merged_4500,code,900,0.5344444444444445,0.5155555555555555,0.5533333333333333,0.5254813137032842,0.5430752453653217,0.534278279534303,0.5344444444444445,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_dt_20260530_205940,dt,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.5533333333333333,0.5777777777777777,0.5288888888888889,0.5639913232104121,0.5421412300683371,0.5530662766393746,0.5679728395061728,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_et_20260530_210002,et,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6633333333333333,0.6511111111111111,0.6755555555555556,0.6591676040494938,0.6673984632272228,0.6632830336383584,0.7282765432098766,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_et_20260530_210002,et,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6077777777777778,0.6377777777777778,0.5777777777777777,0.6192017259978425,0.5956471935853379,0.6074244597915902,0.6689283950617284,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_et_20260530_210002,et,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6377777777777778,0.6511111111111111,0.6244444444444445,0.6425438596491229,0.6328828828828829,0.6377133712660028,0.6931234567901234,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_gb_20260530_202915,gb,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6655555555555556,0.6555555555555556,0.6755555555555556,0.6621773288439955,0.6688668866886689,0.6655221077663322,0.7278345679012345,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_gb_20260530_202915,gb,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6311111111111111,0.6533333333333333,0.6088888888888889,0.6391304347826087,0.6227272727272727,0.6309288537549407,0.6766592592592593,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_gb_20260530_202915,gb,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6422222222222222,0.6533333333333333,0.6311111111111111,0.6461538461538462,0.6382022471910113,0.6421780466724287,0.6969703703703705,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_hgb_20260530_211745,hgb,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6633333333333333,0.6577777777777778,0.6688888888888889,0.6614525139664804,0.6651933701657459,0.6633229420661131,0.7300172839506174,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_hgb_20260530_211745,hgb,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6311111111111111,0.64,0.6222222222222222,0.6343612334801763,0.6278026905829597,0.631081962031568,0.6787382716049382,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_hgb_20260530_211745,hgb,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6388888888888888,0.6511111111111111,0.6266666666666667,0.6432491767288694,0.6344206974128234,0.6388349370708464,0.7108962962962964,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_knn_20260530_205934,knn,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6088888888888889,0.6066666666666667,0.6111111111111112,0.6080178173719376,0.6097560975609756,0.6088869574664566,0.6650493827160493,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_knn_20260530_205934,knn,codesearchnet_codellama-7b_python_merged_4500,code,900,0.5677777777777778,0.38222222222222224,0.7533333333333333,0.4693042291950887,0.6354264292408622,0.5523653292179754,0.6181111111111111,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_knn_20260530_205934,knn,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.57,0.3622222222222222,0.7777777777777778,0.45722300140252453,0.6439742410303588,0.5505986212164417,0.6511135802469137,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_lr_20260530_202123,lr,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6944444444444444,0.6977777777777778,0.6911111111111111,0.6954595791805094,0.693422519509476,0.6944410493449926,0.7816567901234567,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_lr_20260530_202123,lr,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6922222222222222,0.7111111111111111,0.6733333333333333,0.697928026172301,0.6862967157417894,0.6921123709570451,0.7629358024691357,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_lr_20260530_202123,lr,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6966666666666667,0.6977777777777778,0.6955555555555556,0.6970033296337403,0.696329254727475,0.6966662921806077,0.7691481481481481,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_mlp_20260530_202332,mlp,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6977777777777778,0.7266666666666667,0.6688888888888889,0.7062634989200864,0.6887871853546911,0.6975253421373888,0.7774296296296296,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_mlp_20260530_202332,mlp,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6833333333333333,0.7022222222222222,0.6644444444444444,0.6892039258451472,0.6772366930917327,0.6832203094684399,0.7426938271604939,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_mlp_20260530_202332,mlp,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.67,0.6711111111111111,0.6688888888888889,0.6703662597114317,0.6696329254727474,0.6699995925920896,0.7492567901234568,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_rf_20260530_202734,rf,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6522222222222223,0.6288888888888889,0.6755555555555556,0.6439135381114903,0.6601520086862106,0.6520327733988505,0.7198691358024691,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_rf_20260530_202734,rf,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6033333333333334,0.62,0.5866666666666667,0.6098360655737705,0.5966101694915255,0.6032231175326479,0.6561604938271605,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_rf_20260530_202734,rf,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6344444444444445,0.6311111111111111,0.6377777777777778,0.633221850613155,0.6356589147286822,0.6344403826709186,0.6915086419753087,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_svm_20260530_202138,svm,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.7177777777777777,0.7333333333333333,0.7022222222222222,0.7221006564551422,0.7133182844243793,0.7177094704397607,0.7950345679012345,decision
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_svm_20260530_202138,svm,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6844444444444444,0.7088888888888889,0.66,0.6919739696312365,0.6765375854214123,0.6842557775263244,0.7502740740740742,decision
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_svm_20260530_202138,svm,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.7022222222222222,0.7088888888888889,0.6955555555555556,0.7041942604856513,0.7002237136465325,0.7022089870660919,0.7690888888888889,decision
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_xgb_20260530_212101,xgb,codesearchnet_codellama-7b_python_merged_4500,ast,900,0.6755555555555556,0.6711111111111111,0.68,0.6741071428571429,0.6769911504424779,0.6755491466498105,0.7400074074074074,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_xgb_20260530_212101,xgb,codesearchnet_codellama-7b_python_merged_4500,code,900,0.6422222222222222,0.66,0.6244444444444445,0.648471615720524,0.6357466063348416,0.6421091110276829,0.691158024691358,proba
codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_xgb_20260530_212101,xgb,codesearchnet_codellama-7b_python_merged_4500,combined,900,0.6466666666666666,0.6644444444444444,0.6288888888888889,0.6528384279475983,0.6402714932126696,0.646554960580134,0.7125407407407409,proba
