model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	lr	OK	2026-05-23T21:47:02-05:00	2026-05-23T21:47:06-05:00	4	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_lr_20260523_214702.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	svm	OK	2026-05-23T21:47:06-05:00	2026-05-23T21:47:10-05:00	4	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_svm_20260523_214706.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	mlp	OK	2026-05-23T21:47:10-05:00	2026-05-23T21:47:27-05:00	17	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_mlp_20260523_214710.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	rf	OK	2026-05-23T21:47:27-05:00	2026-05-23T21:47:34-05:00	7	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_rf_20260523_214727.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	gb	OK	2026-05-23T21:47:34-05:00	2026-05-23T21:48:41-05:00	67	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_gb_20260523_214734.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	knn	OK	2026-05-23T21:48:41-05:00	2026-05-23T21:48:44-05:00	3	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_knn_20260523_214841.log
starcoder2-15b-instruct-v0.1_maxlen2048_quality400	dt	OK	2026-05-23T21:48:44-05:00	2026-05-23T21:48:49-05:00	5	src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_allmodels_20260523_214702/run4_starcoder2-15b-instruct-v0.1_maxlen2048_quality400_dt_20260523_214844.log
