classifier,target,is_diagonal,hwc_precision,hwc_recall,hwc_f1,agc_precision,agc_recall,agc_f1,both_precision,both_recall,both_f1,accuracy,auroc,support_hwc,support_agc,n_blocks
codellama-7b,starcoder2-7b,False,0.7325581395348837,0.84,0.7826086956521738,0.8125,0.6933333333333334,0.7482014388489209,0.7725290697674418,0.7666666666666666,0.7654050672505474,0.7666666666666667,0.8472,150,150,300
codellama-7b,codellama-7b,True,0.675,0.72,0.6967741935483871,0.7,0.6533333333333333,0.6758620689655173,0.6875,0.6866666666666666,0.6863181312569522,0.6866666666666666,0.7648444444444444,150,150,300
codellama-7b,gpt-oss,False,0.6547619047619048,0.7333333333333333,0.6918238993710691,0.696969696969697,0.6133333333333333,0.652482269503546,0.675865800865801,0.6733333333333333,0.6721530844373076,0.6733333333333333,0.7194444444444444,150,150,300
codellama-7b,starcoder2-15b-instruct-v0.1,False,0.6324324324324324,0.78,0.6985074626865672,0.7130434782608696,0.5466666666666666,0.6188679245283017,0.672737955346651,0.6633333333333333,0.6586876936074344,0.6633333333333333,0.7290666666666668,150,150,300
codellama-7b,gemma,False,0.5752688172043011,0.7133333333333334,0.636904761904762,0.6228070175438597,0.47333333333333333,0.537878787878788,0.5990379173740804,0.5933333333333334,0.587391774891775,0.5933333333333334,0.6413111111111112,150,150,300
