model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	lr	OK	2026-05-24T14:57:51-05:00	2026-05-24T14:58:04-05:00	13	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_lr_20260524_145751.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	svm	OK	2026-05-24T14:58:04-05:00	2026-05-24T14:58:30-05:00	26	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_svm_20260524_145804.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	mlp	OK	2026-05-24T14:58:30-05:00	2026-05-24T15:02:19-05:00	229	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_mlp_20260524_145830.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	rf	OK	2026-05-24T15:02:19-05:00	2026-05-24T15:02:52-05:00	33	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_rf_20260524_150219.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	gb	OK	2026-05-24T15:02:52-05:00	2026-05-24T15:22:25-05:00	1173	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_gb_20260524_150252.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	knn	OK	2026-05-24T15:22:25-05:00	2026-05-24T15:22:33-05:00	8	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_knn_20260524_152225.log
starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048	dt	OK	2026-05-24T15:22:33-05:00	2026-05-24T15:22:56-05:00	23	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_allmodels_20260524_145751/run4_starcoder2-15b-instruct-v0.1_size_sweep_maxlen2048_dt_20260524_152233.log
