classifier,target,is_diagonal,hwc_precision,hwc_recall,hwc_f1,agc_precision,agc_recall,agc_f1,both_precision,both_recall,both_f1,accuracy,auroc,support_hwc,support_agc,n_blocks
gpt-oss,gpt-oss,True,0.7935483870967742,0.82,0.8065573770491803,0.8137931034482758,0.7866666666666666,0.7999999999999999,0.803670745272525,0.8033333333333332,0.8032786885245902,0.8033333333333333,0.8818222222222222,150,150,300
gpt-oss,gemma,False,0.5774647887323944,0.82,0.6776859504132231,0.6896551724137931,0.4,0.5063291139240508,0.6335599805730938,0.61,0.5920075321686369,0.61,0.696511111111111,150,150,300
gpt-oss,starcoder2-15b-instruct-v0.1,False,0.5523809523809524,0.7733333333333333,0.6444444444444445,0.6222222222222222,0.37333333333333335,0.4666666666666667,0.5873015873015873,0.5733333333333334,0.5555555555555556,0.5733333333333334,0.6325777777777778,150,150,300
gpt-oss,codellama-7b,False,0.5555555555555556,0.8,0.6557377049180328,0.6428571428571429,0.36,0.4615384615384615,0.5992063492063493,0.5800000000000001,0.5586380832282472,0.58,0.6164222222222222,150,150,300
gpt-oss,starcoder2-7b,False,0.4954545454545455,0.7266666666666667,0.5891891891891892,0.4875,0.26,0.3391304347826087,0.4914772727272727,0.49333333333333335,0.46415981198589895,0.49333333333333335,0.5772,150,150,300
