model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	lr	OK	2026-05-24T21:39:27-05:00	2026-05-24T21:39:39-05:00	12	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_lr_20260524_213927.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	svm	OK	2026-05-24T21:39:39-05:00	2026-05-24T21:40:05-05:00	26	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_svm_20260524_213939.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	mlp	OK	2026-05-24T21:40:05-05:00	2026-05-24T21:43:49-05:00	224	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_mlp_20260524_214005.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	rf	OK	2026-05-24T21:43:49-05:00	2026-05-24T21:44:22-05:00	33	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_rf_20260524_214349.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	gb	OK	2026-05-24T21:44:22-05:00	2026-05-24T22:00:57-05:00	995	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_gb_20260524_214422.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	knn	OK	2026-05-24T22:00:57-05:00	2026-05-24T22:01:05-05:00	8	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_knn_20260524_220057.log
starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048	dt	OK	2026-05-24T22:01:05-05:00	2026-05-24T22:01:28-05:00	23	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_allmodels_20260524_213927/run4_starcoder2-15b-instruct-v0.1_complexity_sweep_maxlen2048_dt_20260524_220105.log
