model	status	start_time	end_time	seconds	log_file
lr	OK	2026-05-20T00:46:45-05:00	2026-05-20T00:46:53-05:00	8	logs/rq2d_full_run_20260520_004645/run4_lr_20260520_004645.log
svm	OK	2026-05-20T00:46:53-05:00	2026-05-20T00:47:01-05:00	8	logs/rq2d_full_run_20260520_004645/run4_svm_20260520_004653.log
mlp	OK	2026-05-20T00:47:01-05:00	2026-05-20T00:48:31-05:00	90	logs/rq2d_full_run_20260520_004645/run4_mlp_20260520_004701.log
rf	OK	2026-05-20T00:48:31-05:00	2026-05-20T00:49:00-05:00	29	logs/rq2d_full_run_20260520_004645/run4_rf_20260520_004831.log
gb	OK	2026-05-20T00:49:00-05:00	2026-05-20T00:57:30-05:00	510	logs/rq2d_full_run_20260520_004645/run4_gb_20260520_004900.log
xgb	FAIL	2026-05-20T00:57:30-05:00	2026-05-20T00:57:31-05:00	1	logs/rq2d_full_run_20260520_004645/run4_xgb_20260520_005730.log
knn	OK	2026-05-20T00:57:31-05:00	2026-05-20T00:57:37-05:00	6	logs/rq2d_full_run_20260520_004645/run4_knn_20260520_005731.log
dt	OK	2026-05-20T00:57:37-05:00	2026-05-20T00:57:51-05:00	14	logs/rq2d_full_run_20260520_004645/run4_dt_20260520_005737.log
