dataset_source,repo_name,time,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,agc_function_change_event_ratio
treatment,ericmjl/pyds-cli,2024-07,27,0,8,19,1,2,7,17,0.2962962962962963
treatment,ericmjl/pyds-cli,2024-08,4,0,0,4,0,0,0,4,0.0
treatment,ericmjl/pyds-cli,2024-11,69,0,3,66,2,23,1,43,0.043478260869565216
treatment,ericmjl/pyds-cli,2025-03,0,0,0,0,0,0,0,0,
treatment,ericmjl/pyds-cli,2025-04,0,0,0,0,0,0,0,0,
treatment,ericyuegu/hal,2024-05,69,0,34,35,34,34,0,1,0.4927536231884058
treatment,ericyuegu/hal,2024-06,73,0,10,63,10,32,0,31,0.136986301369863
treatment,ericyuegu/hal,2024-07,418,0,86,332,45,103,41,229,0.20574162679425836
treatment,ericyuegu/hal,2024-08,31,0,5,26,2,3,3,23,0.16129032258064516
treatment,ericyuegu/hal,2024-09,347,0,64,283,27,89,37,194,0.1844380403458213
treatment,ericyuegu/hal,2024-10,86,0,11,75,10,30,1,45,0.12790697674418605
treatment,ericyuegu/hal,2024-11,207,0,31,176,20,47,11,129,0.1497584541062802
treatment,ericyuegu/hal,2024-12,120,0,19,101,11,25,8,76,0.15833333333333333
treatment,ericyuegu/hal,2025-02,652,0,93,559,52,233,41,326,0.14263803680981596
treatment,ericyuegu/hal,2025-03,137,0,13,124,9,55,4,69,0.0948905109489051
treatment,ericzakariasson/uber-eats-mcp-server,2025-03,8,0,4,4,4,4,0,0,0.5
treatment,ethyca/fides,2024-01,194,0,43,151,38,78,5,73,0.22164948453608246
treatment,ethyca/fides,2024-02,99,0,17,82,16,45,1,37,0.1717171717171717
treatment,ethyca/fides,2024-03,227,0,48,179,47,103,1,76,0.21145374449339208
treatment,ethyca/fides,2024-04,1118,0,139,979,79,353,60,626,0.12432915921288014
treatment,ethyca/fides,2024-05,258,0,65,193,55,108,10,85,0.25193798449612403
treatment,ethyca/fides,2024-06,427,0,77,350,58,217,19,133,0.18032786885245902
treatment,ethyca/fides,2024-07,480,0,82,398,61,196,21,202,0.17083333333333334
treatment,ethyca/fides,2024-08,856,0,138,718,65,130,73,588,0.16121495327102803
treatment,ethyca/fides,2024-09,447,0,55,392,47,219,8,173,0.12304250559284116
treatment,ethyca/fides,2024-10,388,0,82,306,61,90,21,216,0.211340206185567
treatment,ethyca/fides,2024-11,315,0,35,280,20,134,15,146,0.1111111111111111
treatment,ethyca/fides,2024-12,358,0,71,287,62,227,9,60,0.19832402234636873
treatment,ethyca/fides,2025-01,336,0,42,294,26,123,16,171,0.125
treatment,ethyca/fides,2025-02,599,0,100,499,86,214,14,285,0.1669449081803005
treatment,ethyca/fides,2025-03,522,0,132,390,118,251,14,139,0.25287356321839083
treatment,ethyca/fides,2025-04,551,0,64,487,42,208,22,279,0.1161524500907441
treatment,ethyca/fides,2025-05,202,0,71,131,68,86,3,45,0.35148514851485146
treatment,ethyca/fides,2025-06,1188,0,264,924,244,736,20,188,0.2222222222222222
treatment,ethyca/fides,2025-07,956,0,167,789,147,587,20,202,0.17468619246861924
treatment,ethyca/fides,2025-08,1238,0,174,1064,151,717,23,347,0.14054927302100162
treatment,ezyang/codemcp,2025-03,1794,0,148,1646,85,546,63,1100,0.08249721293199554
treatment,ezyang/codemcp,2025-04,53,0,2,51,2,18,0,33,0.03773584905660377
treatment,ezyang/codemcp,2025-05,153,0,5,148,4,54,1,94,0.032679738562091505
treatment,ezyang/codemcp,2025-06,5,0,0,5,0,1,0,4,0.0
treatment,gerred/mcp-server-replicate,2025-01,182,0,33,149,29,119,4,30,0.1813186813186813
treatment,gerred/mcp-server-replicate,2025-02,0,0,0,0,0,0,0,0,
treatment,getsentry/sentry,2024-01,4576,0,724,3852,389,1030,335,2822,0.15821678321678323
treatment,getsentry/sentry,2024-02,10148,0,2246,7902,385,1216,1861,6686,0.22132439889633426
treatment,getsentry/sentry,2024-03,4124,0,664,3460,326,809,338,2651,0.16100872938894278
treatment,getsentry/sentry,2024-04,5064,0,760,4304,324,1154,436,3150,0.1500789889415482
treatment,getsentry/sentry,2024-05,6376,0,872,5504,263,889,609,4615,0.13676286072772897
treatment,getsentry/sentry,2024-06,4916,0,817,4099,424,1287,393,2812,0.1661920260374288
treatment,getsentry/sentry,2024-07,5144,0,851,4293,404,1125,447,3168,0.16543545878693625
treatment,getsentry/sentry,2024-08,4337,0,799,3538,345,613,454,2925,0.184228729536546
treatment,getsentry/sentry,2024-09,2692,0,491,2201,286,576,205,1625,0.18239227340267458
treatment,getsentry/sentry,2024-10,4446,0,556,3890,350,676,206,3214,0.1250562303193882
treatment,getsentry/sentry,2024-11,2770,0,501,2269,334,733,167,1536,0.18086642599277977
treatment,getsentry/sentry,2024-12,2809,0,425,2384,201,490,224,1894,0.1512993948024208
treatment,getsentry/sentry,2025-01,4233,0,658,3575,346,1093,312,2482,0.15544531065438225
treatment,getsentry/sentry,2025-02,3858,0,641,3217,343,1102,298,2115,0.16614826334888544
treatment,getsentry/sentry,2025-03,5311,0,776,4535,400,1131,376,3404,0.146111843344003
treatment,getsentry/sentry,2025-04,5393,0,885,4508,469,1526,416,2982,0.16410161320229927
treatment,getsentry/sentry,2025-05,3747,0,535,3212,315,759,220,2453,0.14278089137977049
treatment,getsentry/sentry,2025-06,4544,0,678,3866,378,1263,300,2603,0.14920774647887325
treatment,getsentry/sentry,2025-07,21562,0,2744,18818,340,1419,2404,17399,0.12726092199239403
treatment,getsentry/sentry,2025-08,13328,0,2868,10460,471,1699,2397,8761,0.21518607442977192
treatment,grapeot/web_agentic_ai,2025-02,236,0,52,184,50,108,2,76,0.22033898305084745
treatment,grapeot/web_agentic_ai,2025-03,14,0,5,9,5,4,0,5,0.35714285714285715
treatment,hyperb1iss/droidmind,2025-02,0,0,0,0,0,0,0,0,
treatment,hyperb1iss/droidmind,2025-03,814,0,114,700,77,380,37,320,0.14004914004914004
treatment,hyperb1iss/droidmind,2025-05,122,0,15,107,13,60,2,47,0.12295081967213115
treatment,ilanbenb/wa_llm,2024-12,0,0,0,0,0,0,0,0,
treatment,ilanbenb/wa_llm,2025-01,257,0,87,170,62,95,25,75,0.33852140077821014
treatment,ilanbenb/wa_llm,2025-02,112,0,16,96,9,29,7,67,0.14285714285714285
treatment,ilanbenb/wa_llm,2025-03,46,0,7,39,4,10,3,29,0.15217391304347827
treatment,ilanbenb/wa_llm,2025-04,10,0,0,10,0,0,0,10,0.0
treatment,ilanbenb/wa_llm,2025-05,35,0,6,29,1,0,5,29,0.17142857142857143
treatment,ilanbenb/wa_llm,2025-06,47,0,11,36,8,6,3,30,0.23404255319148937
treatment,ilanbenb/wa_llm,2025-07,21,0,0,21,0,14,0,7,0.0
treatment,ilanbenb/wa_llm,2025-08,6,0,2,4,0,0,2,4,0.3333333333333333
treatment,instructor-ai/instructor,2024-01,129,0,16,113,13,56,3,57,0.12403100775193798
treatment,instructor-ai/instructor,2024-02,224,0,42,182,11,54,31,128,0.1875
treatment,instructor-ai/instructor,2024-03,134,0,20,114,13,56,7,58,0.14925373134328357
treatment,instructor-ai/instructor,2024-04,356,0,72,284,32,81,40,203,0.20224719101123595
treatment,instructor-ai/instructor,2024-05,126,0,18,108,5,65,13,43,0.14285714285714285
treatment,instructor-ai/instructor,2024-06,68,0,6,62,5,28,1,34,0.08823529411764706
treatment,instructor-ai/instructor,2024-07,125,0,20,105,15,58,5,47,0.16
treatment,instructor-ai/instructor,2024-08,97,0,2,95,2,31,0,64,0.020618556701030927
treatment,instructor-ai/instructor,2024-09,93,0,11,82,3,30,8,52,0.11827956989247312
treatment,instructor-ai/instructor,2024-10,328,0,71,257,52,158,19,99,0.21646341463414634
treatment,instructor-ai/instructor,2024-11,91,0,14,77,4,36,10,41,0.15384615384615385
treatment,instructor-ai/instructor,2024-12,32,0,7,25,0,3,7,22,0.21875
treatment,instructor-ai/instructor,2025-01,3,0,2,1,0,0,2,1,0.6666666666666666
treatment,instructor-ai/instructor,2025-02,0,0,0,0,0,0,0,0,
treatment,instructor-ai/instructor,2025-03,291,0,67,224,31,146,36,78,0.23024054982817868
treatment,instructor-ai/instructor,2025-04,36,0,4,32,2,24,2,8,0.1111111111111111
treatment,instructor-ai/instructor,2025-05,180,0,27,153,14,60,13,93,0.15
treatment,instructor-ai/instructor,2025-06,182,0,24,158,15,114,9,44,0.13186813186813187
treatment,instructor-ai/instructor,2025-07,749,0,140,609,77,327,63,282,0.18691588785046728
treatment,instructor-ai/instructor,2025-08,36,0,16,20,8,9,8,11,0.4444444444444444
treatment,jmurth1234/ClaudePlayer,2025-02,43,0,8,35,8,28,0,7,0.18604651162790697
treatment,jmurth1234/ClaudePlayer,2025-03,80,0,9,71,5,50,4,21,0.1125
treatment,keephq/keep,2024-01,269,0,60,209,46,65,14,144,0.22304832713754646
treatment,keephq/keep,2024-02,172,0,31,141,30,65,1,76,0.18023255813953487
treatment,keephq/keep,2024-03,257,0,58,199,41,54,17,145,0.22568093385214008
treatment,keephq/keep,2024-04,280,0,75,205,54,97,21,108,0.26785714285714285
treatment,keephq/keep,2024-05,101,0,39,62,23,22,16,40,0.38613861386138615
treatment,keephq/keep,2024-06,265,0,64,201,52,113,12,88,0.24150943396226415
treatment,keephq/keep,2024-07,371,0,79,292,45,102,34,190,0.21293800539083557
treatment,keephq/keep,2024-08,385,0,123,262,95,64,28,198,0.3194805194805195
treatment,keephq/keep,2024-09,790,0,152,638,110,252,42,386,0.19240506329113924
treatment,keephq/keep,2024-10,349,0,91,258,54,90,37,168,0.2607449856733524
treatment,keephq/keep,2024-11,446,0,100,346,71,124,29,222,0.2242152466367713
treatment,keephq/keep,2024-12,556,0,157,399,67,89,90,310,0.2823741007194245
treatment,keephq/keep,2025-01,632,0,198,434,166,210,32,224,0.31329113924050633
treatment,keephq/keep,2025-02,561,0,159,402,93,156,66,246,0.28342245989304815
treatment,keephq/keep,2025-03,920,0,232,688,124,218,108,470,0.25217391304347825
treatment,keephq/keep,2025-04,380,0,61,319,33,82,28,237,0.16052631578947368
treatment,keephq/keep,2025-05,549,0,118,431,80,181,38,250,0.21493624772313297
treatment,keephq/keep,2025-06,194,0,33,161,26,92,7,69,0.17010309278350516
treatment,keephq/keep,2025-07,85,0,25,60,21,27,4,33,0.29411764705882354
treatment,keephq/keep,2025-08,86,0,21,65,18,39,3,26,0.2441860465116279
treatment,leettools-dev/leettools,2024-12,2116,0,836,1280,793,971,43,309,0.3950850661625709
treatment,leettools-dev/leettools,2025-01,431,0,94,337,30,49,64,288,0.21809744779582366
treatment,leettools-dev/leettools,2025-02,480,0,127,353,96,222,31,131,0.26458333333333334
treatment,leettools-dev/leettools,2025-03,242,0,40,202,16,66,24,136,0.1652892561983471
treatment,leettools-dev/leettools,2025-04,149,0,37,112,11,11,26,101,0.2483221476510067
treatment,loftwah/auto-jira,2025-02,120,0,38,82,21,46,17,36,0.31666666666666665
treatment,lss233/kirara-ai,2024-02,1,0,0,1,0,0,0,1,0.0
treatment,lss233/kirara-ai,2024-12,126,0,63,63,62,59,1,4,0.5
treatment,lss233/kirara-ai,2025-01,66,0,30,36,28,21,2,15,0.45454545454545453
treatment,lss233/kirara-ai,2025-02,1514,0,465,1049,343,480,122,569,0.30713342140026423
treatment,lss233/kirara-ai,2025-03,965,0,310,655,233,257,77,398,0.32124352331606215
treatment,lss233/kirara-ai,2025-04,838,0,203,635,101,195,102,440,0.24224343675417662
treatment,lss233/kirara-ai,2025-05,203,0,36,167,28,86,8,81,0.17733990147783252
treatment,lss233/kirara-ai,2025-06,0,0,0,0,0,0,0,0,
treatment,martinnormark/neural-mesh-simplification,2024-08,213,0,69,144,59,106,10,38,0.323943661971831
treatment,martinnormark/neural-mesh-simplification,2024-12,19,0,2,17,2,17,0,0,0.10526315789473684
treatment,martinnormark/neural-mesh-simplification,2025-01,196,0,11,185,3,22,8,163,0.05612244897959184
treatment,martinnormark/neural-mesh-simplification,2025-02,0,0,0,0,0,0,0,0,
treatment,martinnormark/neural-mesh-simplification,2025-03,0,0,0,0,0,0,0,0,
treatment,matebenyovszky/healing-agent,2024-10,164,0,17,147,13,104,4,43,0.10365853658536585
treatment,matebenyovszky/healing-agent,2024-11,56,0,11,45,8,9,3,36,0.19642857142857142
treatment,matebenyovszky/healing-agent,2025-01,7,0,1,6,0,1,1,5,0.14285714285714285
treatment,namuan/trading-utils,2024-02,31,0,10,21,8,20,2,1,0.3225806451612903
treatment,namuan/trading-utils,2024-03,22,0,9,13,5,10,4,3,0.4090909090909091
treatment,namuan/trading-utils,2024-04,30,0,10,20,9,14,1,6,0.3333333333333333
treatment,namuan/trading-utils,2024-05,16,0,5,11,5,8,0,3,0.3125
treatment,namuan/trading-utils,2024-06,24,0,4,20,3,14,1,6,0.16666666666666666
treatment,namuan/trading-utils,2024-07,8,0,4,4,3,4,1,0,0.5
treatment,namuan/trading-utils,2024-08,325,0,143,182,123,105,20,77,0.44
treatment,namuan/trading-utils,2024-09,80,0,33,47,28,21,5,26,0.4125
treatment,namuan/trading-utils,2024-10,42,0,8,34,8,24,0,10,0.19047619047619047
treatment,namuan/trading-utils,2024-11,307,0,92,215,54,94,38,121,0.2996742671009772
treatment,namuan/trading-utils,2024-12,492,0,159,333,105,140,54,193,0.3231707317073171
treatment,namuan/trading-utils,2025-01,68,0,4,64,3,18,1,46,0.058823529411764705
treatment,namuan/trading-utils,2025-02,115,0,28,87,19,35,9,52,0.24347826086956523
treatment,namuan/trading-utils,2025-03,3,0,0,3,0,0,0,3,0.0
treatment,nextml-code/pytorch-datastream,2024-08,3,0,0,3,0,0,0,3,0.0
treatment,nextml-code/pytorch-datastream,2024-09,0,0,0,0,0,0,0,0,
treatment,nextml-code/pytorch-datastream,2025-01,8,0,1,7,1,0,0,7,0.125
treatment,osomai/servicenow-mcp,2025-03,530,0,56,474,55,425,1,49,0.10566037735849057
treatment,osomai/servicenow-mcp,2025-04,20,0,0,20,0,11,0,9,0.0
treatment,osomai/servicenow-mcp,2025-05,0,0,0,0,0,0,0,0,
treatment,osomai/servicenow-mcp,2025-06,33,0,13,20,13,18,0,2,0.3939393939393939
treatment,osomai/servicenow-mcp,2025-08,5,0,0,5,0,1,0,4,0.0
treatment,panther-labs/panther-analysis,2024-01,12,0,7,5,4,2,3,3,0.5833333333333334
treatment,panther-labs/panther-analysis,2024-02,95,0,28,67,21,59,7,8,0.29473684210526313
treatment,panther-labs/panther-analysis,2024-03,54,0,22,32,16,19,6,13,0.4074074074074074
treatment,panther-labs/panther-analysis,2024-04,46,0,28,18,21,12,7,6,0.6086956521739131
treatment,panther-labs/panther-analysis,2024-05,8,0,8,0,8,0,0,0,1.0
treatment,panther-labs/panther-analysis,2024-06,88,0,49,39,28,12,21,27,0.5568181818181818
treatment,panther-labs/panther-analysis,2024-07,111,0,68,43,54,16,14,27,0.6126126126126126
treatment,panther-labs/panther-analysis,2024-08,59,0,36,23,14,8,22,15,0.6101694915254238
treatment,panther-labs/panther-analysis,2024-09,140,0,110,30,86,5,24,25,0.7857142857142857
treatment,panther-labs/panther-analysis,2024-10,640,0,290,350,34,27,256,323,0.453125
treatment,panther-labs/panther-analysis,2024-11,117,0,71,46,68,16,3,30,0.6068376068376068
treatment,panther-labs/panther-analysis,2024-12,38,0,17,21,16,16,1,5,0.4473684210526316
treatment,panther-labs/panther-analysis,2025-01,259,0,182,77,179,60,3,17,0.7027027027027027
treatment,panther-labs/panther-analysis,2025-02,45,0,16,29,13,18,3,11,0.35555555555555557
treatment,panther-labs/panther-analysis,2025-03,79,0,34,45,31,32,3,13,0.43037974683544306
treatment,panther-labs/panther-analysis,2025-04,55,0,35,20,23,5,12,15,0.6363636363636364
treatment,panther-labs/panther-analysis,2025-05,12,0,3,9,1,0,2,9,0.25
treatment,panther-labs/panther-analysis,2025-06,6,0,1,5,0,0,1,5,0.16666666666666666
treatment,panther-labs/panther-analysis,2025-07,37,0,12,25,8,21,4,4,0.32432432432432434
treatment,panther-labs/panther-analysis,2025-08,168,0,104,64,26,7,78,57,0.6190476190476191
treatment,raphaelmansuy/code2prompt,2024-03,43,0,9,34,7,26,2,8,0.20930232558139536
treatment,raphaelmansuy/code2prompt,2024-06,113,0,43,70,26,34,17,36,0.3805309734513274
treatment,raphaelmansuy/code2prompt,2024-07,177,0,52,125,29,83,23,42,0.2937853107344633
treatment,raphaelmansuy/code2prompt,2024-09,104,0,43,61,30,41,13,20,0.41346153846153844
treatment,raphaelmansuy/code2prompt,2024-12,0,0,0,0,0,0,0,0,
treatment,raphaelmansuy/code2prompt,2025-01,0,0,0,0,0,0,0,0,
treatment,raphaelmansuy/iteration_of_tought,2024-09,53,0,15,38,6,10,9,28,0.2830188679245283
treatment,samuelgursky/davinci-resolve-mcp,2025-03,420,0,49,371,48,366,1,5,0.11666666666666667
treatment,samuelgursky/davinci-resolve-mcp,2025-04,0,0,0,0,0,0,0,0,
treatment,sbomify/sbomify,2025-01,370,0,85,285,84,280,1,5,0.22972972972972974
treatment,sbomify/sbomify,2025-02,136,0,23,113,14,49,9,64,0.16911764705882354
treatment,sbomify/sbomify,2025-03,29,0,11,18,10,10,1,8,0.3793103448275862
treatment,sbomify/sbomify,2025-04,22,0,3,19,3,11,0,8,0.13636363636363635
treatment,sbomify/sbomify,2025-05,383,0,67,316,39,148,28,168,0.17493472584856398
treatment,sbomify/sbomify,2025-06,339,0,29,310,21,233,8,77,0.0855457227138643
treatment,sbomify/sbomify,2025-07,1671,0,187,1484,154,794,33,690,0.11190903650508677
treatment,sbomify/sbomify,2025-08,230,0,18,212,15,84,3,128,0.0782608695652174
treatment,sirkirby/unifi-network-rules,2024-09,83,0,19,64,13,43,6,21,0.2289156626506024
treatment,sirkirby/unifi-network-rules,2024-11,24,0,3,21,3,18,0,3,0.125
treatment,sirkirby/unifi-network-rules,2024-12,29,0,4,25,4,12,0,13,0.13793103448275862
treatment,sirkirby/unifi-network-rules,2025-01,8,0,2,6,2,1,0,5,0.25
treatment,sirkirby/unifi-network-rules,2025-02,336,0,58,278,27,105,31,173,0.17261904761904762
treatment,sirkirby/unifi-network-rules,2025-03,432,0,114,318,101,241,13,77,0.2638888888888889
treatment,sirkirby/unifi-network-rules,2025-04,102,0,15,87,11,24,4,63,0.14705882352941177
treatment,sirkirby/unifi-network-rules,2025-06,140,0,24,116,14,71,10,45,0.17142857142857143
treatment,sirkirby/unifi-network-rules,2025-07,52,0,4,48,1,16,3,32,0.07692307692307693
treatment,sirkirby/unifi-network-rules,2025-08,67,0,11,56,10,42,1,14,0.16417910447761194
treatment,smartian1/tgtrader,2024-12,593,0,273,320,225,216,48,104,0.46037099494097805
treatment,smartian1/tgtrader,2025-01,509,0,126,383,99,147,27,236,0.2475442043222004
treatment,smartian1/tgtrader,2025-02,165,0,45,120,32,45,13,75,0.2727272727272727
treatment,smartian1/tgtrader,2025-03,17,0,4,13,3,10,1,3,0.23529411764705882
treatment,smartian1/tgtrader,2025-04,72,0,14,58,9,27,5,31,0.19444444444444445
treatment,smorin/py-launch-blueprint,2025-01,54,0,6,48,4,29,2,19,0.1111111111111111
treatment,smorin/py-launch-blueprint,2025-02,1,0,0,1,0,0,0,1,0.0
treatment,smorin/py-launch-blueprint,2025-03,3,0,1,2,1,2,0,0,0.3333333333333333
treatment,smorin/py-launch-blueprint,2025-04,15,0,1,14,0,1,1,13,0.06666666666666667
treatment,smorin/py-launch-blueprint,2025-05,0,0,0,0,0,0,0,0,
treatment,smorin/py-launch-blueprint,2025-06,0,0,0,0,0,0,0,0,
treatment,sshtunnelvision/MCP-LOGO-GEN,2025-03,39,0,15,24,15,16,0,8,0.38461538461538464
treatment,synaptiai/prompt-decorators,2025-02,529,0,161,368,161,368,0,0,0.30434782608695654
treatment,synaptiai/prompt-decorators,2025-03,4971,0,2047,2924,833,1919,1214,1005,0.41178837256085293
treatment,synaptiai/prompt-decorators,2025-04,0,0,0,0,0,0,0,0,
treatment,synaptiai/prompt-decorators,2025-05,51,0,5,46,5,36,0,10,0.09803921568627451
treatment,synaptiai/prompt-decorators,2025-06,0,0,0,0,0,0,0,0,
treatment,synaptiai/prompt-decorators,2025-07,0,0,0,0,0,0,0,0,
treatment,synaptiai/prompt-decorators,2025-08,0,0,0,0,0,0,0,0,
treatment,terryyin/lizard,2024-04,8,0,3,5,1,4,2,1,0.375
treatment,terryyin/lizard,2024-08,3,0,0,3,0,2,0,1,0.0
treatment,terryyin/lizard,2024-10,12,0,6,6,4,3,2,3,0.5
treatment,terryyin/lizard,2024-12,29,0,16,13,2,5,14,8,0.5517241379310345
treatment,terryyin/lizard,2025-01,158,0,84,74,66,58,18,16,0.5316455696202531
treatment,terryyin/lizard,2025-02,220,0,118,102,52,56,66,46,0.5363636363636364
treatment,terryyin/lizard,2025-03,60,0,23,37,16,27,7,10,0.38333333333333336
treatment,terryyin/lizard,2025-04,24,0,5,19,2,6,3,13,0.20833333333333334
treatment,terryyin/lizard,2025-05,185,0,81,104,52,64,29,40,0.43783783783783786
treatment,terryyin/lizard,2025-06,50,0,22,28,19,23,3,5,0.44
treatment,terryyin/lizard,2025-07,2,0,1,1,1,1,0,0,0.5
treatment,terryyin/lizard,2025-08,8,0,4,4,4,3,0,1,0.5
treatment,tmux-python/tmuxp,2024-01,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2024-02,69,0,3,66,0,1,3,65,0.043478260869565216
treatment,tmux-python/tmuxp,2024-03,66,0,8,58,0,0,8,58,0.12121212121212122
treatment,tmux-python/tmuxp,2024-04,31,0,3,28,2,0,1,28,0.0967741935483871
treatment,tmux-python/tmuxp,2024-05,17,0,11,6,0,0,11,6,0.6470588235294118
treatment,tmux-python/tmuxp,2024-06,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2024-07,11,0,1,10,0,0,1,10,0.09090909090909091
treatment,tmux-python/tmuxp,2024-08,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2024-09,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2024-10,1,0,0,1,0,0,0,1,0.0
treatment,tmux-python/tmuxp,2024-11,1,0,0,1,0,0,0,1,0.0
treatment,tmux-python/tmuxp,2024-12,81,0,6,75,0,0,6,75,0.07407407407407407
treatment,tmux-python/tmuxp,2025-01,124,0,31,93,0,0,31,93,0.25
treatment,tmux-python/tmuxp,2025-02,35,0,1,34,1,1,0,33,0.02857142857142857
treatment,tmux-python/tmuxp,2025-03,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2025-04,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2025-05,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2025-06,7,0,1,6,0,0,1,6,0.14285714285714285
treatment,tmux-python/tmuxp,2025-07,0,0,0,0,0,0,0,0,
treatment,tmux-python/tmuxp,2025-08,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-01,1,0,0,1,0,0,0,1,0.0
treatment,tony/django-docutils,2024-02,2,0,1,1,0,0,1,1,0.5
treatment,tony/django-docutils,2024-03,31,0,5,26,0,0,5,26,0.16129032258064516
treatment,tony/django-docutils,2024-04,3,0,0,3,0,0,0,3,0.0
treatment,tony/django-docutils,2024-05,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-06,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-07,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-08,2,0,0,2,0,0,0,2,0.0
treatment,tony/django-docutils,2024-09,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-10,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2024-11,1,0,0,1,0,0,0,1,0.0
treatment,tony/django-docutils,2024-12,46,0,7,39,0,0,7,39,0.15217391304347827
treatment,tony/django-docutils,2025-01,50,0,7,43,0,0,7,43,0.14
treatment,tony/django-docutils,2025-02,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-03,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-04,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-05,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-06,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-07,0,0,0,0,0,0,0,0,
treatment,tony/django-docutils,2025-08,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-01,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-02,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-03,3,0,0,3,0,0,0,3,0.0
treatment,tony/django-slugify-processor,2024-04,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-05,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-06,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-07,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-08,2,0,0,2,0,0,0,2,0.0
treatment,tony/django-slugify-processor,2024-09,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-10,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2024-11,1,0,0,1,0,0,0,1,0.0
treatment,tony/django-slugify-processor,2024-12,1,0,0,1,0,0,0,1,0.0
treatment,tony/django-slugify-processor,2025-01,3,0,1,2,0,0,1,2,0.3333333333333333
treatment,tony/django-slugify-processor,2025-02,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-03,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-04,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-05,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-06,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-07,0,0,0,0,0,0,0,0,
treatment,tony/django-slugify-processor,2025-08,0,0,0,0,0,0,0,0,
treatment,trycua/cua,2025-01,0,0,0,0,0,0,0,0,
treatment,trycua/cua,2025-02,0,0,0,0,0,0,0,0,
treatment,trycua/cua,2025-03,834,0,348,486,330,396,18,90,0.4172661870503597
treatment,trycua/cua,2025-04,276,0,65,211,51,102,14,109,0.23550724637681159
treatment,trycua/cua,2025-05,557,0,182,375,120,182,62,193,0.3267504488330341
treatment,trycua/cua,2025-06,420,0,109,311,86,156,23,155,0.25952380952380955
treatment,trycua/cua,2025-07,729,0,287,442,234,338,53,104,0.3936899862825789
treatment,trycua/cua,2025-08,712,0,278,434,172,168,106,266,0.3904494382022472
treatment,tsukumijima/KonomiTV,2024-01,121,0,14,107,1,14,13,93,0.11570247933884298
treatment,tsukumijima/KonomiTV,2024-02,242,0,35,207,12,38,23,169,0.1446280991735537
treatment,tsukumijima/KonomiTV,2024-03,9,0,6,3,0,0,6,3,0.6666666666666666
treatment,tsukumijima/KonomiTV,2024-04,58,0,6,52,3,13,3,39,0.10344827586206896
treatment,tsukumijima/KonomiTV,2024-05,20,0,2,18,0,0,2,18,0.1
treatment,tsukumijima/KonomiTV,2024-06,11,0,0,11,0,1,0,10,0.0
treatment,tsukumijima/KonomiTV,2024-07,7,0,0,7,0,0,0,7,0.0
treatment,tsukumijima/KonomiTV,2024-08,171,0,42,129,20,28,22,101,0.24561403508771928
treatment,tsukumijima/KonomiTV,2024-09,23,0,2,21,0,0,2,21,0.08695652173913043
treatment,tsukumijima/KonomiTV,2024-10,7,0,2,5,0,0,2,5,0.2857142857142857
treatment,tsukumijima/KonomiTV,2024-11,0,0,0,0,0,0,0,0,
treatment,tsukumijima/KonomiTV,2024-12,5,0,1,4,0,0,1,4,0.2
treatment,tsukumijima/KonomiTV,2025-01,101,0,29,72,11,16,18,56,0.2871287128712871
