dataset_source,repo_name,time,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,agc_function_change_event_ratio
treatment,VRSEN/agency-swarm,2024-06,6,0,0,6,0,0,0,6,0.0
treatment,VRSEN/agency-swarm,2024-07,83,0,10,73,7,5,3,68,0.12048192771084337
treatment,VRSEN/agency-swarm,2024-08,95,0,16,79,3,6,13,73,0.16842105263157894
treatment,VRSEN/agency-swarm,2024-09,3,0,1,2,0,0,1,2,0.3333333333333333
treatment,VRSEN/agency-swarm,2024-10,15,0,7,8,3,0,4,8,0.4666666666666667
treatment,VRSEN/agency-swarm,2024-11,88,0,13,75,6,16,7,59,0.14772727272727273
treatment,VRSEN/agency-swarm,2024-12,6,0,2,4,2,0,0,4,0.3333333333333333
treatment,VRSEN/agency-swarm,2025-01,2,0,0,2,0,0,0,2,0.0
treatment,VRSEN/agency-swarm,2025-02,28,0,2,26,0,3,2,23,0.07142857142857142
treatment,VRSEN/agency-swarm,2025-03,191,0,60,131,54,83,6,48,0.31413612565445026
treatment,VRSEN/agency-swarm,2025-04,134,0,37,97,28,41,9,56,0.27611940298507465
treatment,VRSEN/agency-swarm,2025-05,785,0,164,621,135,399,29,222,0.2089171974522293
treatment,VRSEN/agency-swarm,2025-06,758,0,135,623,109,244,26,379,0.17810026385224276
treatment,VRSEN/agency-swarm,2025-07,509,0,99,410,69,171,30,239,0.1944990176817289
treatment,VRSEN/agency-swarm,2025-08,1180,0,158,1022,123,395,35,627,0.13389830508474576
treatment,VRSEN/agency-swarm-memory-demo,2025-02,21,0,2,19,2,7,0,12,0.09523809523809523
treatment,VRSEN/agency-voice-interface,2024-10,317,0,88,229,75,143,13,86,0.277602523659306
treatment,VRSEN/agency-voice-interface,2024-11,0,0,0,0,0,0,0,0,
treatment,VRSEN/agency-voice-interface,2025-01,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-03,1,0,1,0,1,0,0,0,1.0
treatment,W1ndys/Blog,2024-04,4,0,3,1,0,0,3,1,0.75
treatment,W1ndys/Blog,2024-05,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-06,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-07,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-08,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-09,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-10,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-11,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2024-12,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2025-01,17,0,2,15,1,8,1,7,0.11764705882352941
treatment,W1ndys/Blog,2025-02,1,0,0,1,0,0,0,1,0.0
treatment,W1ndys/Blog,2025-03,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2025-04,0,0,0,0,0,0,0,0,
treatment,W1ndys/Blog,2025-05,1,0,0,1,0,1,0,0,0.0
treatment,W1ndys/Blog,2025-06,0,0,0,0,0,0,0,0,
treatment,WangQrkkk/ThinkingCursor,2025-01,3,0,0,3,0,3,0,0,0.0
treatment,WangQrkkk/ThinkingCursor,2025-02,2,0,0,2,0,0,0,2,0.0
treatment,airweave-ai/airweave,2024-12,349,0,139,210,101,122,38,88,0.3982808022922636
treatment,airweave-ai/airweave,2025-01,506,0,116,390,73,209,43,181,0.22924901185770752
treatment,airweave-ai/airweave,2025-02,702,0,152,550,92,276,60,274,0.21652421652421652
treatment,airweave-ai/airweave,2025-03,471,0,71,400,56,164,15,236,0.15074309978768577
treatment,airweave-ai/airweave,2025-04,814,0,170,644,126,336,44,308,0.20884520884520885
treatment,airweave-ai/airweave,2025-05,814,0,150,664,105,234,45,430,0.18427518427518427
treatment,airweave-ai/airweave,2025-06,1212,0,252,960,148,320,104,640,0.2079207920792079
treatment,airweave-ai/airweave,2025-07,916,0,177,739,119,229,58,510,0.19323144104803494
treatment,airweave-ai/airweave,2025-08,3091,0,485,2606,269,674,216,1932,0.15690714978971207
treatment,allthingslinux/tux,2024-01,260,0,182,78,127,37,55,41,0.7
treatment,allthingslinux/tux,2024-03,294,0,109,185,63,78,46,107,0.3707482993197279
treatment,allthingslinux/tux,2024-04,792,0,319,473,187,278,132,195,0.4027777777777778
treatment,allthingslinux/tux,2024-05,196,0,40,156,18,43,22,113,0.20408163265306123
treatment,allthingslinux/tux,2024-06,221,0,61,160,49,80,12,80,0.27601809954751133
treatment,allthingslinux/tux,2024-07,848,0,127,721,73,231,54,490,0.14976415094339623
treatment,allthingslinux/tux,2024-08,525,0,79,446,43,94,36,352,0.15047619047619049
treatment,allthingslinux/tux,2024-09,825,0,208,617,49,110,159,507,0.25212121212121213
treatment,allthingslinux/tux,2024-10,160,0,50,110,18,14,32,96,0.3125
treatment,allthingslinux/tux,2024-11,112,0,8,104,2,13,6,91,0.07142857142857142
treatment,allthingslinux/tux,2024-12,11,0,1,10,1,1,0,9,0.09090909090909091
treatment,allthingslinux/tux,2025-01,13,0,3,10,0,1,3,9,0.23076923076923078
treatment,allthingslinux/tux,2025-02,303,0,81,222,41,34,40,188,0.26732673267326734
treatment,allthingslinux/tux,2025-03,165,0,59,106,40,42,19,64,0.3575757575757576
treatment,allthingslinux/tux,2025-04,903,0,297,606,169,224,128,382,0.3289036544850498
treatment,allthingslinux/tux,2025-05,64,0,12,52,6,15,6,37,0.1875
treatment,allthingslinux/tux,2025-06,579,0,136,443,116,280,20,163,0.23488773747841105
treatment,allthingslinux/tux,2025-07,151,0,55,96,55,85,0,11,0.36423841059602646
treatment,allthingslinux/tux,2025-08,2527,0,844,1683,601,985,243,698,0.333992876929165
treatment,appl-team/appl,2024-05,564,0,295,269,295,268,0,1,0.5230496453900709
treatment,appl-team/appl,2024-06,0,0,0,0,0,0,0,0,
treatment,appl-team/appl,2024-07,50,0,22,28,13,12,9,16,0.44
treatment,appl-team/appl,2024-08,4,0,0,4,0,0,0,4,0.0
treatment,appl-team/appl,2024-09,116,0,39,77,26,27,13,50,0.33620689655172414
treatment,appl-team/appl,2024-10,33,0,9,24,8,11,1,13,0.2727272727272727
treatment,appl-team/appl,2024-11,85,0,32,53,16,26,16,27,0.3764705882352941
treatment,appl-team/appl,2024-12,283,0,81,202,64,75,17,127,0.2862190812720848
treatment,appl-team/appl,2025-01,26,0,5,21,1,8,4,13,0.19230769230769232
treatment,askjohngeorge/pipecat-lead-qualifier,2025-01,455,0,235,220,117,113,118,107,0.5164835164835165
treatment,askjohngeorge/pipecat-lead-qualifier,2025-02,604,0,385,219,103,44,282,175,0.6374172185430463
treatment,c4fun/tell-stories-webui,2025-02,161,0,28,133,27,110,1,23,0.17391304347826086
treatment,c4fun/tell-stories-webui,2025-04,0,0,0,0,0,0,0,0,
treatment,cgevans/qslib,2024-02,4,0,1,3,0,0,1,3,0.25
treatment,cgevans/qslib,2024-03,2,0,0,2,0,2,0,0,0.0
treatment,cgevans/qslib,2024-05,2,0,0,2,0,0,0,2,0.0
treatment,cgevans/qslib,2024-08,41,0,10,31,6,5,4,26,0.24390243902439024
treatment,cgevans/qslib,2024-10,35,0,13,22,1,0,12,22,0.37142857142857144
treatment,cgevans/qslib,2024-11,5,0,0,5,0,1,0,4,0.0
treatment,cgevans/qslib,2024-12,20,0,9,11,2,3,7,8,0.45
treatment,cgevans/qslib,2025-01,2,0,0,2,0,1,0,1,0.0
treatment,cgevans/qslib,2025-02,54,0,7,47,3,18,4,29,0.12962962962962962
treatment,cgevans/qslib,2025-03,136,0,12,124,7,51,5,73,0.08823529411764706
treatment,cgevans/qslib,2025-04,0,0,0,0,0,0,0,0,
treatment,cgevans/qslib,2025-05,0,0,0,0,0,0,0,0,
treatment,cgevans/qslib,2025-06,0,0,0,0,0,0,0,0,
treatment,cgevans/qslib,2025-07,6,0,0,6,0,3,0,3,0.0
treatment,cgevans/qslib,2025-08,46,0,9,37,6,12,3,25,0.1956521739130435
treatment,codingforentrepreneurs/Cursor-Django,2024-10,26,0,19,7,18,6,1,1,0.7307692307692307
treatment,cohnen/mcp-google-ads,2025-03,35,0,8,27,7,16,1,11,0.22857142857142856
treatment,cohnen/mcp-google-ads,2025-04,6,0,1,5,0,4,1,1,0.16666666666666666
treatment,cohnen/mcp-google-ads,2025-07,15,0,2,13,0,0,2,13,0.13333333333333333
treatment,cohnen/mcp-google-ads,2025-08,1,0,0,1,0,0,0,1,0.0
treatment,daojiAnime/vmq-fastapi,2025-01,143,0,33,110,33,110,0,0,0.23076923076923078
treatment,daojiAnime/vmq-fastapi,2025-02,82,0,19,63,10,14,9,49,0.23170731707317074
treatment,daojiAnime/vmq-fastapi,2025-03,0,0,0,0,0,0,0,0,
treatment,discus0434/nook,2025-02,79,0,29,50,28,50,1,0,0.3670886075949367
treatment,discus0434/nook,2025-03,11,0,0,11,0,1,0,10,0.0
treatment,discus0434/nook,2025-04,15,0,2,13,0,2,2,11,0.13333333333333333
treatment,ericmjl/llamabot,2024-01,74,0,16,58,7,12,9,46,0.21621621621621623
treatment,ericmjl/llamabot,2024-02,93,0,11,82,2,11,9,71,0.11827956989247312
treatment,ericmjl/llamabot,2024-03,94,0,32,62,20,14,12,48,0.3404255319148936
treatment,ericmjl/llamabot,2024-04,4,0,1,3,0,0,1,3,0.25
treatment,ericmjl/llamabot,2024-05,0,0,0,0,0,0,0,0,
treatment,ericmjl/llamabot,2024-06,2,0,0,2,0,0,0,2,0.0
treatment,ericmjl/llamabot,2024-07,56,0,18,38,14,15,4,23,0.32142857142857145
treatment,ericmjl/llamabot,2024-08,27,0,12,15,4,3,8,12,0.4444444444444444
treatment,ericmjl/llamabot,2024-09,53,0,15,38,9,6,6,32,0.2830188679245283
treatment,ericmjl/llamabot,2024-10,216,0,68,148,17,44,51,104,0.3148148148148148
treatment,ericmjl/llamabot,2024-11,178,0,44,134,36,73,8,61,0.24719101123595505
treatment,ericmjl/llamabot,2024-12,104,0,25,79,19,42,6,37,0.2403846153846154
treatment,ericmjl/llamabot,2025-01,90,0,29,61,29,30,0,31,0.32222222222222224
treatment,ericmjl/llamabot,2025-02,33,0,1,32,0,0,1,32,0.030303030303030304
treatment,ericmjl/llamabot,2025-04,39,0,3,36,0,15,3,21,0.07692307692307693
treatment,ericmjl/llamabot,2025-05,329,0,82,247,41,87,41,160,0.24924012158054712
treatment,ericmjl/llamabot,2025-06,32,0,14,18,13,9,1,9,0.4375
treatment,ericmjl/llamabot,2025-07,307,0,70,237,56,162,14,75,0.2280130293159609
treatment,ericmjl/llamabot,2025-08,203,0,64,139,37,44,27,95,0.31527093596059114
treatment,ericmjl/pyds-cli,2024-02,7,0,3,4,2,1,1,3,0.42857142857142855
treatment,ericmjl/pyds-cli,2024-03,24,0,0,24,0,10,0,14,0.0
treatment,ericmjl/pyds-cli,2024-04,0,0,0,0,0,0,0,0,
treatment,ericmjl/pyds-cli,2024-05,0,0,0,0,0,0,0,0,
treatment,ericmjl/pyds-cli,2024-06,3,0,1,2,1,1,0,1,0.3333333333333333
